nome_empresa,setor,uf_sede,regiao_sede,faturamento_anual,lucro_liquido,potencial_investimento,score_empresa,site,descricao
Dairy Partners Americas Brasil Ltda.,Outros,N/D,Nacional,110400000,11040000,448500,0.7209,,LIE: R$0.3M | Rouanet: R$1.0M | Total historico 2022-2025: R$1.4M
Usina Sao Joao,Outros,N/D,Nacional,106000000,10600000,430625,0.7209,,LIE: R$0.4M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.3M
Cia Docas Sp,Outros,N/D,Nacional,161410371,16141037,655730,0.7208,,LIE: R$0.2M | Rouanet: R$1.8M | Total historico 2022-2025: R$2.0M
Grupo Pedreira Um,Outros,N/D,Nacional,105179514,10517951,427292,0.7208,,LIE: R$0.4M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.3M
Banco Abc Brasil,Financeiro,N/D,Nacional,103004000,10300400,418454,0.7208,,LIE: R$0.4M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.3M
Itaca Grupo,Outros,N/D,Nacional,112432000,11243200,456755,0.7208,,LIE: R$0.3M | Rouanet: R$1.1M | Total historico 2022-2025: R$1.4M
Acos F. Sacchelli,Outros,N/D,Nacional,90320000,9032000,366925,0.7207,,LIE: R$0.5M | Rouanet: R$0.6M | Total historico 2022-2025: R$1.1M
Grupo Rud,Outros,N/D,Nacional,103777282,10377728,421595,0.7207,,LIE: R$0.4M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.3M
Amazongas,Tecnologia,SP,Sudeste,84000000,8400000,341250,0.7206,,LIE: R$0.6M | Rouanet: R$0.5M | Total historico 2022-2025: R$1.1M
Construja,Outros,N/D,Nacional,99222443,9922244,403091,0.7205,,LIE: R$0.4M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.2M
Genesys,Outros,N/D,Nacional,103621854,10362185,420964,0.7204,,LIE: R$0.4M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.3M
Ingleza,Outros,N/D,Nacional,128000000,12800000,520000,0.7203,,LIE: R$0.3M | Rouanet: R$1.3M | Total historico 2022-2025: R$1.6M
Diamaju,Outros,N/D,Nacional,106975973,10697597,434590,0.7203,,LIE: R$0.4M | Rouanet: R$1.0M | Total historico 2022-2025: R$1.3M
Amafil,Outros,N/D,Nacional,104863202,10486320,426007,0.7203,,LIE: R$0.4M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.3M
Mayekawa Holding,Outros,N/D,Nacional,98000000,9800000,398125,0.7203,,LIE: R$0.4M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.2M
Safeeds,Outros,N/D,Nacional,100418634,10041863,407951,0.7202,,LIE: R$0.4M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.3M
Grupo Jp,Outros,N/D,Nacional,117600000,11760000,477750,0.7202,,LIE: R$0.3M | Rouanet: R$1.2M | Total historico 2022-2025: R$1.5M
Shimadzu,Outros,N/D,Nacional,99324627,9932463,403506,0.7202,,LIE: R$0.4M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.2M
Batavo,Outros,N/D,Nacional,100640000,10064000,408850,0.7201,,LIE: R$0.4M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.3M
Rp Sociedade De Credito Direto S.A.,Financeiro,N/D,Nacional,81600000,8160000,331500,0.7201,,LIE: R$0.6M | Rouanet: R$0.5M | Total historico 2022-2025: R$1.0M
Banco Pine,Financeiro,N/D,Nacional,100336925,10033692,407619,0.7201,,LIE: R$0.4M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.3M
Ezze Seguros,Financeiro,N/D,Nacional,98053512,9805351,398342,0.72,,LIE: R$0.4M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.2M
Pirahy Alimentos,Outros,N/D,Nacional,122845920,12284592,499062,0.72,,LIE: R$0.3M | Rouanet: R$1.3M | Total historico 2022-2025: R$1.5M
Industria Textil Oeste,Outros,N/D,Nacional,157451680,15745168,639647,0.7199,,LIE: R$0.2M | Rouanet: R$1.8M | Total historico 2022-2025: R$2.0M
Jirau Energia,Energia,N/D,Nacional,140688742,14068874,571548,0.7198,,LIE: R$0.2M | Rouanet: R$1.5M | Total historico 2022-2025: R$1.8M
Zm Auto Pecas,Outros,N/D,Nacional,101200000,10120000,411125,0.7198,,LIE: R$0.4M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.3M
Biogen,Outros,N/D,Nacional,87600000,8760000,355875,0.7197,,LIE: R$0.5M | Rouanet: R$0.6M | Total historico 2022-2025: R$1.1M
Subsea7,Outros,N/D,Nacional,106139426,10613943,431191,0.7197,,LIE: R$0.3M | Rouanet: R$1.0M | Total historico 2022-2025: R$1.3M
Grupo Ferroeste,Outros,N/D,Nacional,112125840,11212584,455511,0.7196,,LIE: R$0.3M | Rouanet: R$1.1M | Total historico 2022-2025: R$1.4M
Casa Santa Luzia,Outros,N/D,Nacional,137600000,13760000,559000,0.7196,,LIE: R$0.2M | Rouanet: R$1.5M | Total historico 2022-2025: R$1.7M
Frameport,Outros,N/D,Nacional,117480000,11748000,477262,0.7196,,LIE: R$0.3M | Rouanet: R$1.2M | Total historico 2022-2025: R$1.5M
Pvh Corp (Calvin Klein),Outros,N/D,Nacional,96577120,9657712,392345,0.7195,,LIE: R$0.4M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.2M
Vtclog,Outros,N/D,Nacional,67046326,6704633,272376,0.7194,,LIE: R$0.8M | Rouanet: R$0.1M | Total historico 2022-2025: R$0.8M
Nova America Agricola,Outros,N/D,Nacional,110610028,11061003,449353,0.7193,,LIE: R$0.3M | Rouanet: R$1.1M | Total historico 2022-2025: R$1.4M
Cmnp,Outros,N/D,Nacional,159176704,15917670,646655,0.7191,,LIE: R$0.2M | Rouanet: R$1.8M | Total historico 2022-2025: R$2.0M
