processo,proponente,nome_projeto,sli,manifestacao,modalidade_esportiva,cnpj,municipio,uf,regiao,valor_aprovado,valor_captado,saldo_disponivel,percentual_captado,data_publicacao,data_inicio_captacao,data_fim_captacao,ano_aprovacao,status,score_prioridade,is_real
71000.063264/2024-06,Associação Squashinhos,Squashinhos - Ano IV,2403825,Educacional,Squash (Pan-Americano),30.011.024/0001-07,,RJ,Sudeste,748122.0,0.0,748122.0,0.0,2024-12-20,2024-12-20,2026-12-04,2024,Captando,0.745,True
71000.034694/2024-11,"De Peito Aberto Incentivo ao Esporte, Cultura e Lazer",Esporte na Cidade Norte e Nordeste Ano V,2400968,Educacional,Futebol/Futsal/Outros,07.952.460/0001-69,Belo Horizonte,MG,Sudeste,3876270.72,0.0,3876270.72,0.0,2024-07-12,2024-07-12,2026-07-08,2024,Captando,0.745,True
71000.018472/2024-42,"De Peito Aberto Incentivo ao Esporte, Cultura e Lazer",Esporte na Cidade XIV,2400632,Educacional,Atletismo/Basquete/Futebol/Judô/Futsal/Futebol 7 Society/Outros_x000D_,07.952.460/0001-69,Belo Horizonte,MG,Sudeste,3455169.2,0.0,3455169.2,0.0,2024-07-12,2024-07-12,2026-07-08,2024,Captando,0.745,True
71000.035346/2024-52,Federação Nacional das Apaes,TEAtivo Norte,2401021,Educacional,Atletismo/Natação/Futsal/Capoeira,62.388.566/0001-90,Brasília,DF,Centro-Oeste,5167281.75,0.0,5167281.75,0.0,2024-07-12,2024-07-12,2026-07-08,2024,Captando,0.745,True
71000.035349/2024-96,Federação Nacional das Apaes,TEAtivo Sudeste,2401023,Educacional,Atletismo/Natação/Futsal/Capoeira_x000D_,62.388.566/0001-90,Brasília,DF,Centro-Oeste,3455954.2,0.0,3455954.2,0.0,2024-07-12,2024-07-12,2026-07-08,2024,Captando,0.745,True
71000.061519/2024-98,Associação Mineira do Paradesporto,Bocha Paralímpica nas Escolas Ano II,2403571,Educacional,Bocha Paraolímpico,29.335.005/0001-57,,MG,Sudeste,880933.85,0.0,880933.85,0.0,2024-12-04,2024-12-04,2026-11-11,2024,Captando,0.745,True
71000.059946/2024-14,Clube Esportivo Recreativo Anitense,Plano Anual de Atividades Esportivas XIII,2403516,Educacional,Vôlei de quadra/Futsal_x000D_,07.816.783/0001-25,,SC,Sul,519613.66,0.0,519613.66,0.0,2024-12-04,2024-12-04,2026-11-11,2024,Captando,0.745,True
71000.061465/2024-61,Federação Pernambucana de Golfe,Golfe Pernambucano – Esporte e Cidadania 2,2403544,Educacional,Golfe,05.946.133/0001-79,,PE,Nordeste,805108.48,0.0,805108.48,0.0,2024-12-04,2024-12-04,2026-11-11,2024,Captando,0.745,True
71000.063452/2024-26,VA'A Mangaratiba Canoe Clube,Remando para o Futuro - Ano 2,2403881,Educacional,Outros,46.941.171/0001-16,,RJ,Sudeste,777312.8,0.0,777312.8,0.0,2024-12-18,2024-12-18,2026-12-04,2024,Captando,0.745,True
71000.065172/2024-52,Associacao Intercultural de HIP HOP Urbanos da Amazonia,Escola Breaking da Amazônia,2404260,Educacional,Breakdance,18.486.526/0001-99,,AM,Norte,402210.06,0.0,402210.06,0.0,2025-02-05,2025-02-05,2026-12-18,2025,Captando,0.745,True
71000.069348/2024-45,Associacao Lencoense de Basquetebol,Projeto Esporte para a Vida Fase VI,2404590,Educacional,Basquete,10.810.243/0001-49,,SP,Sudeste,493770.64,0.0,493770.64,0.0,2025-02-05,2025-02-05,2026-12-18,2025,Captando,0.745,True
71000.055339/2024-77,"Instituto ITI-Igualdade, Transformacao e Inovacao Social",ITI + Judô,2403103,Educacional,Outros,19.396.980/0001-11,Itabira,MG,Sudeste,626627.5,0.0,626627.5,0.0,2024-10-09,2024-10-09,2026-10-01,2024,Captando,0.745,True
71000.053933/2024-23,Instituto Time M,Escola de Triathlon – Instituto Time M – Ano 2,2402980,Educacional,Thiathlon,22.415.807/0001-28,Leme,SP,Sudeste,551840.21,0.0,551840.21,0.0,2024-10-09,2024-10-09,2026-10-01,2024,Captando,0.745,True
71000.074199/2024-36,Instituto Theóphilo Petrycoski,Projeto Vôlei Futuro Ano IV,2405867,Educacional,Vôlei de quadra,13.470.735/0001-20,,PR,Sul,265687.0,0.0,265687.0,0.0,2025-02-26,2025-02-26,2027-02-10,2025,Captando,0.745,True
